"Name","Avg MVP","MVP/m","Total MVP","Accuracy","Hit Diff","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate"
"Lenhen","13.38","1.18","1512.43","77.83","0.93","40% (45/113)","15.65","73.98","40% (6/15)","14.58","80.13","50% (8/16)","11.8","67.99","42% (15/36)","12.92","83.2","20% (4/20)","13.9","88.12","46% (12/26)"
"Oddum","13.28","1.14","929.53","78.96","0.89","43% (30/70)","12.25","74.08","10% (1/10)","12.37","83.41","38% (5/13)","12.5","69.21","50% (11/22)","14.27","85.42","50% (3/6)","15.02","87.73","53% (10/19)"
"Jelly","13.22","1.05","39.67","86.44","0.67","67% (2/3)","0","0","NaN% (0/0)","10.93","80.85","100% (1/1)","0","0","NaN% (0/0)","10.1","80.82","0% (0/1)","18.64","97.65","100% (1/1)"
"Spidey","13.2","0","13.2","78.13","0.67","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","13.2","78.13","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"TheSavageCoder","13.15","1.35","1748.53","82.35","0.83","48% (64/133)","14.51","78.21","28% (7/25)","12.5","90.34","67% (12/18)","13.71","78.25","53% (33/62)","10.49","89.39","54% (7/13)","11.62","90.49","33% (5/15)"
"Chopper Legs","12.91","1.22","25.82","81.26","0.52","100% (2/2)","0","0","NaN% (0/0)","10.5","86.05","100% (1/1)","15.32","76.47","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Dwarf","12.8","0","12.8","95.83","0.65","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","12.8","95.83","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Killjoy","12.63","1.39","25.25","38.88","0.65","100% (2/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","12.63","38.88","100% (2/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Straight2VHS","12.48","1.26","49.9","63.55","0.73","75% (3/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","12.48","63.55","75% (3/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Homeskool","12.43","0.99","1839.93","71.05","0.67","45% (66/148)","13.43","66.48","30% (6/20)","14.1","76.1","47% (20/43)","10.33","52.87","35% (14/40)","11.42","81.4","54% (14/26)","13.41","88.55","63% (12/19)"
"Sadders","12.39","1.04","2949.26","79.6","0.68","49% (117/238)","16.39","72.3","55% (22/40)","10.23","73.72","42% (11/26)","11.19","64.5","49% (20/41)","10.05","84.43","26% (6/23)","12.39","88.43","54% (58/108)"
"OldManThanatos","12.33","1.16","73.98","96.48","0.52","33% (2/6)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","13.28","90.22","100% (1/1)","12.14","97.73","20% (1/5)"
"Tsunami","12.32","1.06","49.26","76.62","0.74","50% (2/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","13.24","65.86","50% (1/2)","9.6","85.71","0% (0/1)","13.18","89.02","100% (1/1)"
"Syke","12.2","0.95","707.52","68.29","0.78","50% (29/58)","14.79","61.09","40% (4/10)","11.81","75.04","64% (9/14)","10.42","50.68","63% (10/16)","11.34","72.43","25% (2/8)","13.69","90.92","40% (4/10)"
"Arrow","12.15","0","218.62","84.87","0.7","44% (8/18)","13.5","85","0% (0/2)","9","89.89","67% (2/3)","11.67","60.28","50% (2/4)","0","0","NaN% (0/0)","13.11","94.1","44% (4/9)"
"Syrdust","12.14","0","424.88","75.39","0.72","40% (14/35)","13.25","78.12","36% (4/11)","10.12","83.82","17% (1/6)","11.02","60.56","55% (6/11)","14.08","87.59","40% (2/5)","13.42","86.2","50% (1/2)"
